symbol,name,close_price,volume,vol_vs_avg,change_in_percent,days_old
MAG,Mag Silver Corporation,12.9,614932,1.09,4.28,413
NLY,Annaly Capital Management Inc,12.21,6871176,0.91,1.16,413
JD,"JD.com, Inc.",40.42,9637738,0.79,3.06,415
LAZ,"Lazard LTD. Lazard, LTD.",47.1,646291,0.78,1.09,414
OR,Osisko Gold Royalties Ltd,12.37,779370,0.78,3.6,258
TECK,Teck Resources Ltd ,18.36,3455289,0.74,3.9,408
GDI,"Gardner Denver Holdings, Inc.",21.34,826888,0.6,3.24,43
ZTO,ZTO Express (Cayman) Inc.,14.78,1364985,0.6,2.28,178
WRD,WildHorse Resource Development Corporation,12.52,312697,0.5,5.92,145
TWTR,"Twitter, Inc.",18.08,8562792,0.47,0.33,408
ATHM,Autohome Inc.,46.83,642955,0.46,1.87,406
TIME,Time Inc.,14.15,904324,0.39,1.07,408
NCSM,"NCS Multistage Holdings, Inc.",24.4,53590,0.2,7.11,53
